host_total_listings_count,neighbourhood_cleansed,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price
1.0,0,0,37.769310377340766,-122.43385634488999,0,0,3.0,1.0,1.0,2.0,0,1.0,127.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,170.0
2.0,1,1,37.745112331410034,-122.42101788836888,0,0,5.0,1.0,2.0,3.0,0,30.0,112.0,98.0,10.0,10.0,10.0,10.0,10.0,9.0,235.0
10.0,2,0,37.766689597862175,-122.45250461761628,0,1,2.0,4.0,1.0,1.0,0,32.0,17.0,85.0,8.0,8.0,9.0,9.0,9.0,8.0,65.0
4.0,3,2,37.73074592978503,-122.44840862635226,1,1,1.0,2.0,1.0,1.0,0,3.0,76.0,95.0,9.0,9.0,10.0,10.0,9.0,9.0,60.0
10.0,2,0,37.76487219421756,-122.45182799146508,1,1,2.0,4.0,1.0,1.0,0,32.0,7.0,91.0,9.0,9.0,9.0,9.0,9.0,9.0,65.0
2.0,0,0,37.775248585892676,-122.43637374831292,1,0,5.0,1.5,2.0,2.0,0,5.0,26.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,575.0
1.0,0,3,37.78470745496073,-122.44555431261594,0,0,7.0,1.0,2.0,1.0,0,2.0,27.0,88.0,9.0,7.0,10.0,10.0,9.0,9.0,255.0
2.0,4,1,37.75918889708064,-122.42236687240562,0,1,3.0,1.0,1.0,2.0,0,1.0,559.0,98.0,10.0,10.0,10.0,10.0,10.0,9.0,139.0
1.0,4,1,37.75174004606522,-122.40942059534281,0,0,4.0,2.5,3.0,3.0,0,3.0,24.0,95.0,9.0,9.0,10.0,10.0,9.0,9.0,285.0
1.0,5,4,37.76258885144137,-122.40543055237004,1,1,2.0,1.0,1.0,1.0,0,1.0,386.0,93.0,9.0,9.0,10.0,10.0,9.0,9.0,135.0
1.0,4,1,37.75874294929672,-122.4132720164374,1,0,6.0,1.0,2.0,3.0,0,3.0,274.0,95.0,10.0,10.0,10.0,9.0,9.0,9.0,265.0
46.0,6,5,37.78573889680189,-122.40797710199777,0,0,2.0,1.5,1.0,1.0,0,30.0,16.0,91.0,10.0,9.0,10.0,10.0,10.0,9.0,139.0
10.0,2,0,37.77018946066375,-122.44594218370484,0,1,1.0,4.0,1.0,2.0,0,32.0,5.0,75.0,8.0,8.0,9.0,10.0,9.0,7.0,85.0
10.0,2,0,37.76894262424544,-122.44778223886064,1,1,2.0,3.0,1.0,2.0,0,32.0,5.0,64.0,6.0,6.0,10.0,9.0,9.0,8.0,85.0
1.0,7,6,37.76074548179248,-122.43032405939661,0,1,1.0,1.0,1.0,1.0,0,3.0,353.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,79.0
1.0,4,1,37.75490669862631,-122.42245501922534,0,0,3.0,1.0,1.0,2.0,0,3.0,83.0,98.0,10.0,10.0,10.0,10.0,10.0,9.0,215.0
3.0,0,0,37.77252151838996,-122.43215647138362,2,1,2.0,1.0,1.0,1.0,0,2.0,297.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,110.0
1.0,4,1,37.76348966609621,-122.41517400287555,3,1,2.0,1.0,0.0,1.0,0,3.0,215.0,96.0,10.0,10.0,10.0,10.0,9.0,9.0,188.0
10.0,2,0,37.76480029761001,-122.45251322942761,1,1,2.0,4.0,1.0,1.0,0,32.0,14.0,78.0,8.0,8.0,10.0,10.0,10.0,7.0,65.0
1.0,4,1,37.75065032945569,-122.41983820914385,0,0,5.0,1.0,2.0,4.0,0,1.0,75.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,225.0
2.0,1,1,37.74556318786063,-122.41206808320703,0,1,2.0,0.5,1.0,1.0,0,3.0,204.0,98.0,10.0,10.0,10.0,10.0,9.0,10.0,95.0
1.0,7,6,37.759630163946134,-122.4414323272976,4,0,2.0,1.0,1.0,1.0,0,3.0,301.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,155.0
2.0,5,4,37.756445953809276,-122.39910232220872,2,1,2.0,1.0,1.0,1.0,0,2.0,232.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,155.0
1.0,2,0,37.77161759839722,-122.4383620129092,0,1,1.0,1.0,1.0,1.0,0,1.0,153.0,95.0,10.0,9.0,10.0,10.0,10.0,9.0,79.0
2.0,0,3,37.78716464559002,-122.43386112927003,0,0,4.0,1.0,1.0,2.0,0,2.0,225.0,95.0,10.0,10.0,10.0,10.0,10.0,10.0,195.0
1.0,8,7,37.741876130512445,-122.43121541816402,1,1,2.0,1.0,1.0,1.0,0,5.0,11.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,150.0
3.0,0,0,37.77728949301072,-122.43421149153566,2,1,2.0,1.0,1.0,1.0,0,2.0,343.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,110.0
1.0,5,4,37.762122016234294,-122.39540903672585,1,1,3.0,1.0,0.0,1.0,0,4.0,265.0,95.0,9.0,10.0,10.0,10.0,10.0,9.0,125.0
3.0,0,3,37.78894736246063,-122.43030637005006,1,1,2.0,1.0,1.0,1.0,0,2.0,52.0,90.0,9.0,9.0,10.0,9.0,10.0,9.0,110.0
3.0,0,0,37.774778481770866,-122.43149873605402,0,0,10.0,2.0,4.0,7.0,0,4.0,26.0,89.0,9.0,8.0,8.0,9.0,9.0,9.0,393.0
